survey_year,fsu_serial_no,sector,nss_region,district,stratum,sub_stratum,sub_round,fod_sub_region,nsc,household_id,informant_id,response_code,survey_code,substitution_code,date_of_survey,date_of_dispatch,time_to_canvass,total_investigators,remarks_fis,remarks_sos,remarks_any,household_size,religion,social_group,land_possessed,expenditure_pcs,expenditure_hgs,expenditure_osc,expenditure_hds,total_expenditure,energy_cooking,energy_lighting,clothes_wash,floor_sweep,dwelling_structure,special_care,weight
2019,10202,1,11,19,1,31,1,110,4,1,2,1,1,9999,290119,130219,90,1,2,2,2,4,1,9,5,8500,2000,0,0,10500,1,1,2,2,3,2,12815.5
2019,10202,1,11,19,1,31,1,110,4,2,1,1,1,9999,260119,130219,90,1,2,2,2,5,1,9,5,7000,2500,0,0,9500,1,1,1,2,3,2,12815.5
2019,10202,1,11,19,1,31,1,110,4,3,1,1,1,9999,280119,130219,90,1,2,2,2,4,4,1,8,12000,3000,650,2083,17733,2,1,2,2,3,2,12815.5
2019,10202,1,11,19,1,31,1,110,4,4,1,1,1,9999,300119,130219,90,1,2,2,2,5,1,9,6,12000,2000,0,0,14000,1,1,2,2,3,2,12815.5
2019,10202,1,11,19,1,31,1,110,4,5,2,1,1,9999,270119,130219,90,1,2,2,2,5,1,9,5,10000,3000,500,1000,14500,1,1,2,2,2,1,12815.5
2019,10202,1,11,19,1,31,1,110,4,6,1,1,1,9999,230119,130219,90,1,2,2,2,6,1,9,5,12000,3500,0,0,15500,1,1,2,2,3,1,12815.5
2019,10202,1,11,19,1,31,1,110,4,7,1,1,1,9999,250119,130219,90,1,2,2,2,5,1,9,5,12000,2000,500,0,14500,2,1,2,2,3,1,12815.5
2019,10202,1,11,19,1,31,1,110,4,8,1,1,1,9999,250119,130219,90,1,2,2,2,6,1,9,7,12000,3000,500,5000,20500,2,1,2,2,3,2,12815.5
2019,10202,1,11,19,1,31,1,110,4,9,1,1,1,9999,270119,130219,90,1,2,2,2,5,1,9,3,10000,2000,0,0,12000,2,1,1,2,3,2,12815.5
2019,10202,1,11,19,1,31,1,110,4,10,1,1,1,9999,230119,130219,90,1,2,2,2,5,1,9,5,7000,2500,300,0,9800,2,1,2,2,3,2,12815.5
2019,10202,1,11,19,1,31,1,110,4,11,3,1,1,9999,300119,130219,90,1,2,2,2,6,1,9,6,15000,3500,500,1000,20000,2,1,1,2,3,2,12815.5
2019,10202,1,11,19,1,31,1,110,4,12,1,1,1,9999,290119,130219,90,1,2,2,2,4,1,9,5,8000,2500,0,0,10500,1,1,2,2,3,1,12815.5
2019,10202,1,11,19,1,31,1,110,4,13,1,1,1,9999,280119,130219,90,1,2,2,2,4,1,9,6,9000,3000,500,833,13333,1,1,2,2,3,2,12815.5
2019,10202,1,11,19,1,31,1,110,4,14,1,1,1,9999,260119,130219,90,1,2,2,2,3,1,9,4,6000,0,0,0,6000,1,1,2,2,3,1,12815.5
2019,10948,1,13,13,3,32,2,122,3,1,2,1,1,9999,200519,280619,205,2,2,2,2,4,2,9,3,7500,510,350,0,8360,1,1,2,2,3,2,3566.1
2019,10948,1,13,13,3,32,2,122,3,2,1,1,1,9999,180519,280619,9999,2,2,2,2,2,2,9,3,6500,510,180,0,7190,2,1,2,2,3,2,3566.1
2019,10948,1,13,13,3,32,2,122,3,3,6,1,1,9999,160519,280619,370,2,2,2,2,6,2,9,3,13000,200,0,0,13200,2,1,2,2,3,9999,3566.1
2019,10948,1,13,13,3,32,2,122,3,4,1,1,1,9999,210519,280619,450,2,2,2,2,13,2,9,5,12200,1200,0,4333,17733,1,1,2,2,3,2,3566.1
2019,10948,1,13,13,3,32,2,122,3,5,2,1,1,9999,160519,280619,225,2,2,2,2,5,2,9,3,3600,350,280,167,4397,1,1,2,2,3,2,3566.1
2019,10948,1,13,13,3,32,2,122,3,6,1,1,1,9999,190519,280619,230,2,2,2,2,4,2,9,3,14500,450,390,208,15548,1,1,2,2,2,2,3566.1
2019,10948,1,13,13,3,32,2,122,3,7,2,1,1,9999,150519,280619,200,2,2,2,2,4,2,9,4,8000,570,400,250,9220,1,1,2,2,3,2,3566.1
2019,10948,1,13,13,3,32,2,122,3,8,1,1,1,9999,180519,280619,240,2,2,2,2,5,2,9,3,6500,400,300,125,7325,2,1,2,2,3,2,3566.1
2019,10948,1,13,13,3,32,2,122,3,9,2,1,1,9999,150519,280619,245,2,2,2,2,4,2,9,3,4200,520,360,233,5313,2,1,2,2,3,2,3566.1
2019,10948,1,13,13,3,32,2,122,3,10,2,1,2,3,170519,280619,230,2,1,2,2,4,2,9,3,4500,540,320,208,5568,1,1,2,2,3,2,3566.1
